;TeamNr;;;;;;;;;;;;;;;;;;;;;
;;586;569;566;602;182;597;560;586;569;566;602;182;597;560;586;569;566;602;182;597;560
586;1;1;3;0;1;0;3;1;6;7;5;5;4;7;6;7;8;6;6;7;7;8
569;1;3;1;1;0;1;3;0;15;12;11;12;14;10;10;8;8;8;8;8;8;8
566;1;1;0;3;0;1;3;1;24;20;27;18;16;25;22;8;7;9;7;8;9;8
602;1;1;3;1;1;0;3;0;10;12;8;10;7;10;8;8;8;7;8;7;8;7
182;1;3;1;1;0;1;3;0;13;10;10;10;12;12;10;9;8;8;8;9;9;8
597;1;3;0;0;1;1;3;1;10;10;10;12;15;15;10;9;8;7;8;9;8;7
560;1;0;3;0;1;1;1;3;15;15;15;15;15;15;15;10;10;10;10;10;10;10
;;304;543;581;547;327;648;539;304;543;581;547;327;648;539;304;543;581;547;327;648;539
304;2;;;;;;;;;;;;;;;;;;;;;
543;2;0;3;1;3;1;1;0;5;6;6;8;5;7;5;7;9;9;9;7;8;7
581;2;0;1;3;3;1;1;0;4;7;7;10;6;4;4;5;7;7;7;7;5;5
547;2;1;0;1;3;1;3;0;5;4;5;12;3;4;5;6;5;6;7;5;6;6
327;2;0;1;1;3;1;3;0;10;10;10;10;10;10;10;10;10;10;10;10;10;10
648;2;;;;;;;;;;;;;;;;;;;;;
539;2;0;1;1;3;1;0;3;5;5;5;5;5;5;5;8;8;8;8;8;8;8
;;281;579;656;576;618;553;589;281;579;656;576;618;553;589;281;579;656;576;618;553;589
281;3;1;3;0;1;0;1;3;20;27;15;20;18;20;25;8;9;2;8;8;8;8
579;3;0;3;0;1;1;1;3;6;12;;9;7;8;9;8;8;;8;7;8;8
656;3;;;;;;;;;;;;;;;;;;;;;
576;3;1;3;0;1;0;1;3;5;7;4;5;3;5;7;8;8;3;6;6;6;8
618;3;0;3;0;3;1;1;1;14;20;2;18;17;15;16;8;8;1;8;8;8;8
553;3;0;3;1;1;0;3;1;10;10;1;8;8;10;10;9;9;3;7;7;9;9
589;3;1;3;0;3;0;1;1;7;10;1;8;7;6;8;7;9;0;7;6;6;7
;;645;557;546;637;575;623;572;645;557;546;637;575;623;572;645;557;546;637;575;623;572
645;4;;;;;;;;;;;;;;;;;;;;;
557;4;0;1;1;0;1;3;3;0;10;11;0;10;20;15;0;9;9;0;9;7;9
546;4;1;0;1;0;1;3;3;10;24;28;6;28;50;35;4;5;6;;6;8;7
637;4;;;;;;;;;;;;;;;;;;;;;
575;4;0;1;0;1;1;3;3;5;5;7;7;9;15;10;8;6;8;9;8;9;9
623;4;0;3;1;0;1;3;1;5;20;15;0;7;40;10;3;5;5;0;4;7;8
572;4;0;1;1;0;1;3;3;;4;6;;5;15;8;;7;7;;7;8;7
;;278;604;621;584;564;634;663;278;604;621;584;564;634;663;278;604;621;584;564;634;663
278;5;1;0;3;1;3;1;0;;;;;;;;;;;;;;
604;5;3;1;3;1;1;0;0;8;7;10;7;8;10;5;8;8;8;8;8;8;8
621;5;3;1;3;1;1;0;0;13;7;18;11;12;3;2;8;6;9;7;8;4;4
584;5;3;1;3;1;1;0;0;5;4;6;5;4;4;4;10;7;9;8;7;6;6
564;5;1;1;3;1;3;0;0;20;20;25;18;21;10;12;10;10;10;8;10;6;10
634;5;3;0;3;1;1;1;0;20;10;25;15;10;10;10;10;10;10;10;10;7;5
663;5;1;1;3;1;3;0;0;28;28;28;28;28;28;14;10;10;10;10;10;10;10
;;612;583;647;642;591;594;;612;583;647;642;591;594;;612;583;647;642;591;594;
612;6;3;0;1;0;1;3;;42;10;30;10;15;45;;9;5;8;6;7;9;
583;6;3;1;0;1;0;3;;30;30;30;30;30;30;;10;10;10;10;10;10;
647;6;0;1;1;0;3;3;;10;10;10;10;10;12;;9;9;9;9;9;9;
642;6;3;0;0;1;1;3;;120;120;120;120;120;120;;10;10;10;10;10;10;
591;6;0;0;3;1;1;3;;9;7;9;7;8;10;;7;6;7;5;7;7;
594;6;1;0;1;0;3;3;;24;11;23;10;26;26;;8;5;8;3;8;8;
;;556;662;574;615;611;649;600;556;662;574;615;611;649;600;556;662;574;615;611;649;600
556;7;3;1;1;0;3;0;1;45;45;45;45;45;45;45;10;10;10;10;10;10;10
662;7;1;1;3;1;3;0;0;15;15;30;18;25;10;10;5;6;8;6;7;5;5
574;7;1;1;1;3;3;0;0;10;6;10;10;10;5;5;7;7;7;8;8;7;7
615;7;1;1;1;3;3;0;0;7;7;8;10;14;3;2;8;7;7;8;9;5;2
611;7;1;1;1;3;3;0;0;12;10;15;15;20;8;4;6;7;7;8;7;6;4
649;7;1;0;1;0;3;1;3;;;;;;;;6;5;6;5;7;7;7
600;7;1;0;3;0;3;1;1;10;10;10;10;10;10;10;10;10;10;10;10;10;10
;;268;640;324;578;558;550;601;268;640;324;578;558;550;601;268;640;324;578;558;550;601
268;8;0;1;0;3;3;1;1;8;14;8;9;9;13;9;6;8;7;9;9;8;9
640;8;0;1;0;3;1;3;1;11;12;9;10;12;13;15;10;10;10;10;10;10;10
324;8;;;;;;;;;;;;;;;;;;;;;
578;8;0;3;0;1;1;1;3;8;15;6;13;10;10;15;7;9;4;8;7;6;9
558;8;0;3;0;3;1;1;1;8;14;6;9;9;10;9;8;8;4;8;8;8;8
550;8;0;0;1;3;1;3;1;4;5;12;14;12;11;12;4;2;5;7;6;7;7
601;8;0;1;0;3;1;1;3;4;5;4;13;8;7;9;3;5;3;10;8;8;9
;;659;592;620;593;606;313;633;659;592;620;593;606;313;633;659;592;620;593;606;313;633
659;9;1;3;0;3;1;1;0;4;5;2;6;2;4;2;8;9;7;10;6;8;7
592;9;1;3;0;3;1;1;0;8;9;4;10;6;8;6;8;8;6;10;7;8;7
620;9;1;0;3;0;3;1;1;11;7;9;9;10;6;8;10;8;7;9;10;6;8
593;9;1;3;0;3;1;1;0;5;6;4;7;4;5;5;6;7;4;8;5;6;4
